dataset,activation,optimizer,learning_rate,epochs,batch_size,embed_dim,hidden_dims,dropout,best_val_acc,final_dev_acc,timestamp
sst2,relu,sgd,0.1,10,64,256,256-128-64,0.2,0.5971014492753624,0.6119402985074627,2026-02-10 18:05:12
sst2,relu,sgd,0.01,10,64,256,256-128-64,0.2,0.6579710144927536,0.661308840413318,2026-02-10 18:05:20
sst2,relu,adam,0.001,10,64,256,256-128-64,0.2,0.6811594202898551,0.6567164179104478,2026-02-10 18:05:27
sst2,relu,adam,0.0001,10,64,256,256-128-64,0.2,0.6173913043478261,0.6257175660160735,2026-02-10 18:05:35
sst2,relu,adagrad,0.01,10,64,256,256-128-64,0.2,0.7072463768115942,0.6900114810562572,2026-02-10 18:05:42
sst2,relu,adagrad,0.001,10,64,256,256-128-64,0.2,0.6463768115942029,0.600459242250287,2026-02-10 18:05:49
sst2,tanh,sgd,0.1,10,64,256,256-128-64,0.2,0.6318840579710145,0.6486796785304249,2026-02-10 18:05:57
sst2,tanh,sgd,0.01,10,64,256,256-128-64,0.2,0.6231884057971014,0.6119402985074627,2026-02-10 18:06:04
sst2,tanh,adam,0.001,10,64,256,256-128-64,0.2,0.6927536231884058,0.7026406429391504,2026-02-10 18:06:11
sst2,tanh,adam,0.0001,10,64,256,256-128-64,0.2,0.6405797101449275,0.582089552238806,2026-02-10 18:06:19
sst2,tanh,adagrad,0.01,10,64,256,256-128-64,0.2,0.7072463768115942,0.7129735935706085,2026-02-10 18:06:26
sst2,tanh,adagrad,0.001,10,64,256,256-128-64,0.2,0.6144927536231884,0.6314580941446614,2026-02-10 18:06:33
sst2,sigmoid,sgd,0.1,10,64,256,256-128-64,0.2,0.6289855072463768,0.6567164179104478,2026-02-10 18:06:41
sst2,sigmoid,sgd,0.01,10,64,256,256-128-64,0.2,0.6579710144927536,0.6257175660160735,2026-02-10 18:06:48
sst2,sigmoid,adam,0.001,10,64,256,256-128-64,0.2,0.6811594202898551,0.7187141216991964,2026-02-10 18:06:55
sst2,sigmoid,adam,0.0001,10,64,256,256-128-64,0.2,0.6492753623188405,0.6326061997703789,2026-02-10 18:07:02
sst2,sigmoid,adagrad,0.01,10,64,256,256-128-64,0.2,0.7536231884057971,0.7210103329506314,2026-02-10 18:07:10
sst2,sigmoid,adagrad,0.001,10,64,256,256-128-64,0.2,0.6376811594202898,0.669345579793341,2026-02-10 18:07:17
